Data_de_Venda,Nome_do_Produto,Quantidade_Vendida,Preço_Unitário,Região_de_Venda,Promoção_Ativa
2024-01-07,Papel Higiênico 30m,5,5.35,Nordeste,Não
2024-01-07,Papel Higiênico 30m,7,5.29,Sudeste,Não
2024-01-07,Lenço Umedecido,17,5.05,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,13,6.91,Sul,Não
2024-01-07,Papel Higiênico 50m,19,8.15,Sul,Sim
2024-01-07,Papel Higiênico 40m,99,6.51,Norte,Não
2024-01-07,Lenço Umedecido,17,5.16,Centro-Oeste,Não
2024-01-07,Fralda M,47,28.37,Centro-Oeste,Sim
2024-01-07,Papel Higiênico 30m,6,5.49,Sul,Não
2024-01-07,Fralda G,9,28.74,Centro-Oeste,Sim
2024-01-07,Papel Higiênico 30m,2,5.51,Norte,Sim
2024-01-07,Papel Higiênico 40m,112,6.69,Sul,Não
2024-01-07,Papel Higiênico 50m,19,7.96,Nordeste,Não
2024-01-07,Fralda M,125,28.13,Sul,Não
2024-01-07,Fralda G,35,33.61,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,20,6.57,Norte,Não
2024-01-07,Papel Higiênico 30m,3,5.17,Centro-Oeste,Não
2024-01-07,Fralda G,29,28.77,Sul,Não
2024-01-07,Fralda P,50,26.0,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,8,6.16,Sudeste,Não
2024-01-07,Fralda P,16,25.39,Sudeste,Não
2024-01-07,Fralda XG,22,30.99,Centro-Oeste,Não
2024-01-07,Fralda XG,54,29.58,Nordeste,Não
2024-01-07,Papel Toalha FD,210,6.92,Sudeste,Não
2024-01-07,Papel Toalha FD,20,6.56,Sudeste,Não
2024-01-07,Lenço Umedecido,15,4.94,Nordeste,Não
2024-01-07,Papel Toalha FD,9,7.25,Sudeste,Não
2024-01-07,Fralda M,58,27.94,Sudeste,Sim
2024-01-07,Fralda P,68,24.98,Norte,Sim
2024-01-07,Fralda P,66,26.46,Centro-Oeste,Não
2024-01-07,Papel Higiênico 50m,73,7.17,Sul,Não
2024-01-07,Fralda G,3,31.14,Sudeste,Não
2024-01-07,Lenço Umedecido,102,5.07,Sul,Não
2024-01-07,Papel Higiênico 30m,37,5.64,Centro-Oeste,Não
2024-01-07,Fralda M,6,28.69,Sul,Sim
2024-01-07,Papel Higiênico 30m,11,5.26,Sudeste,Sim
2024-01-07,Papel Higiênico 50m,25,6.9,Centro-Oeste,Sim
2024-01-07,Papel Higiênico 30m,75,5.67,Sul,Não
2024-01-07,Papel Higiênico 40m,36,5.78,Sudeste,Não
2024-01-07,Papel Higiênico 30m,66,5.6,Sul,Sim
2024-01-07,Papel Higiênico 30m,19,5.24,Sudeste,Não
2024-01-07,Papel Higiênico 30m,8,5.38,Sudeste,Não
2024-01-07,Papel Toalha FT,28,7.3,Sudeste,Não
2024-01-07,Fralda P,50,26.28,Sudeste,Não
2024-01-07,Papel Higiênico 40m,48,5.88,Nordeste,Não
2024-01-07,Lenço Umedecido,14,5.21,Nordeste,Não
2024-01-07,Fralda P,4,26.75,Sudeste,Não
2024-01-07,Papel Higiênico 30m,30,5.49,Sudeste,Não
2024-01-07,Papel Higiênico 30m,14,5.06,Nordeste,Não
2024-01-07,Fralda M,15,29.23,Sudeste,Não
2024-01-07,Papel Higiênico 40m,27,5.88,Sul,Sim
2024-01-07,Fralda M,26,27.88,Sudeste,Não
2024-01-07,Papel Higiênico 30m,105,5.2,Sudeste,Não
2024-01-07,Papel Higiênico 40m,20,6.82,Sudeste,Não
2024-01-07,Papel Higiênico 30m,16,6.05,Norte,Não
2024-01-07,Papel Higiênico 30m,21,5.02,Sudeste,Sim
2024-01-07,Papel Toalha FT,13,7.8,Centro-Oeste,Não
2024-01-07,Fralda XG,8,32.99,Nordeste,Não
2024-01-07,Fralda XG,46,31.33,Sudeste,Não
2024-01-07,Fralda P,27,28.83,Norte,Não
2024-01-07,Lenço Umedecido,16,4.82,Nordeste,Não
2024-01-07,Fralda G,37,29.07,Norte,Não
2024-01-07,Papel Higiênico 30m,33,6.0,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,54,5.45,Norte,Não
2024-01-07,Fralda P,14,28.02,Centro-Oeste,Não
2024-01-07,Papel Higiênico 30m,40,6.02,Nordeste,Não
2024-01-07,Fralda M,9,28.74,Norte,Sim
2024-01-07,Papel Higiênico 50m,14,7.1,Sudeste,Não
2024-01-07,Papel Higiênico 50m,151,7.8,Sudeste,Não
2024-01-07,Papel Higiênico 30m,34,5.61,Sudeste,Não
2024-01-07,Fralda XG,5,30.7,Sudeste,Não
2024-01-07,Lenço Umedecido,8,4.71,Sudeste,Sim
2024-01-07,Fralda G,40,29.33,Sudeste,Não
2024-01-07,Papel Higiênico 30m,25,5.49,Sudeste,Não
2024-01-07,Lenço Umedecido,13,4.92,Sudeste,Não
2024-01-07,Papel Higiênico 30m,36,5.2,Centro-Oeste,Sim
2024-01-07,Papel Toalha FT,80,7.33,Nordeste,Não
2024-01-07,Papel Higiênico 30m,8,5.6,Sul,Não
2024-01-07,Fralda P,1,24.75,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,32,5.32,Sudeste,Não
2024-01-07,Papel Higiênico 50m,6,7.57,Sudeste,Sim
2024-01-07,Lenço Umedecido,46,5.22,Sudeste,Não
2024-01-07,Fralda P,22,25.48,Norte,Sim
2024-01-07,Fralda M,36,29.09,Sudeste,Não
2024-01-07,Papel Higiênico 30m,95,5.62,Nordeste,Não
2024-01-07,Fralda M,63,29.07,Nordeste,Não
2024-01-07,Fralda M,140,24.61,Nordeste,Sim
2024-01-07,Papel Higiênico 30m,82,5.35,Sudeste,Não
2024-01-07,Papel Higiênico 30m,12,5.61,Sudeste,Não
2024-01-07,Papel Higiênico 50m,40,7.23,Sudeste,Não
2024-01-07,Papel Higiênico 50m,39,7.88,Sudeste,Não
2024-01-07,Lenço Umedecido,1,5.31,Sudeste,Não
2024-01-07,Fralda P,14,26.28,Nordeste,Não
2024-01-07,Fralda P,5,27.29,Sudeste,Não
2024-01-07,Lenço Umedecido,23,5.07,Norte,Não
2024-01-07,Papel Higiênico 30m,52,5.46,Centro-Oeste,Sim
2024-01-07,Papel Higiênico 30m,10,5.33,Sudeste,Sim
2024-01-07,Lenço Umedecido,9,4.68,Sul,Não
2024-01-07,Papel Higiênico 30m,60,5.87,Sudeste,Não
2024-01-07,Papel Higiênico 30m,9,5.14,Norte,Não
2024-01-07,Papel Higiênico 30m,19,5.44,Nordeste,Não
2024-01-07,Lenço Umedecido,12,5.07,Norte,Não
2024-01-07,Papel Higiênico 30m,92,5.62,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,5,5.48,Centro-Oeste,Não
2024-01-07,Fralda XG,11,33.32,Sul,Sim
2024-01-07,Fralda XG,105,31.16,Sul,Não
2024-01-07,Papel Higiênico 30m,6,5.76,Sudeste,Não
2024-01-07,Papel Higiênico 30m,90,5.57,Centro-Oeste,Não
2024-01-07,Papel Toalha FD,102,6.66,Sul,Sim
2024-01-07,Lenço Umedecido,13,5.3,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,38,5.45,Sudeste,Sim
2024-01-07,Lenço Umedecido,21,5.14,Sudeste,Não
2024-01-07,Fralda G,28,30.23,Sul,Não
2024-01-07,Fralda G,23,30.67,Nordeste,Não
2024-01-07,Lenço Umedecido,2,4.81,Nordeste,Não
2024-01-07,Papel Higiênico 30m,22,5.57,Sudeste,Não
2024-01-07,Papel Higiênico 40m,17,6.17,Sul,Não
2024-01-07,Papel Higiênico 30m,19,5.13,Nordeste,Não
2024-01-07,Papel Toalha FT,32,7.52,Sul,Não
2024-01-07,Papel Higiênico 30m,21,5.33,Sudeste,Sim
2024-01-07,Papel Higiênico 30m,45,5.75,Norte,Não
2024-01-07,Papel Toalha FT,42,8.0,Sudeste,Não
2024-01-07,Papel Higiênico 30m,52,5.5,Sudeste,Sim
2024-01-07,Fralda P,23,24.67,Norte,Não
2024-01-07,Fralda G,51,30.38,Sudeste,Não
2024-01-07,Lenço Umedecido,7,4.53,Sudeste,Não
2024-01-07,Fralda XG,36,35.46,Centro-Oeste,Não
2024-01-07,Fralda XG,62,33.67,Nordeste,Não
2024-01-07,Papel Higiênico 30m,55,5.56,Sul,Não
2024-01-07,Papel Higiênico 30m,1,5.19,Sudeste,Não
2024-01-07,Papel Toalha FT,59,8.63,Sudeste,Não
2024-01-07,Fralda G,3,29.37,Nordeste,Sim
2024-01-07,Fralda XG,11,31.66,Nordeste,Não
2024-01-07,Papel Higiênico 30m,128,5.75,Nordeste,Não
2024-01-07,Fralda M,22,24.96,Sudeste,Não
2024-01-07,Papel Toalha FD,19,6.78,Sul,Sim
2024-01-07,Fralda P,54,26.08,Sudeste,Não
2024-01-07,Fralda P,5,26.97,Sudeste,Não
2024-01-07,Papel Toalha FD,18,7.36,Sudeste,Sim
2024-01-07,Fralda P,1,26.72,Sudeste,Não
2024-01-07,Fralda M,75,30.17,Sul,Não
2024-01-07,Papel Toalha FT,38,7.57,Sudeste,Não
2024-01-07,Fralda G,16,31.21,Sudeste,Não
2024-01-07,Fralda P,14,24.21,Sul,Não
2024-01-07,Papel Higiênico 30m,81,5.68,Sudeste,Não
2024-01-07,Lenço Umedecido,81,5.45,Sudeste,Não
2024-01-07,Papel Higiênico 30m,18,5.98,Nordeste,Não
2024-01-07,Fralda XG,10,31.63,Sudeste,Não
2024-01-07,Papel Higiênico 40m,234,7.15,Sudeste,Não
2024-01-07,Fralda M,21,27.49,Centro-Oeste,Não
2024-01-07,Fralda XG,13,32.87,Sudeste,Não
2024-01-07,Fralda M,12,27.46,Sudeste,Não
2024-01-07,Fralda M,47,29.4,Sudeste,Não
2024-01-07,Fralda P,6,26.81,Norte,Não
2024-01-07,Fralda M,7,25.42,Nordeste,Não
2024-01-07,Lenço Umedecido,11,4.93,Sudeste,Não
2024-01-07,Fralda P,18,25.99,Sudeste,Não
2024-01-07,Lenço Umedecido,74,5.21,Sul,Não
2024-01-07,Papel Toalha FD,45,7.07,Sudeste,Não
2024-01-07,Fralda G,13,29.38,Sul,Não
2024-01-07,Papel Higiênico 50m,63,7.53,Sul,Não
2024-01-07,Fralda M,6,27.51,Sudeste,Não
2024-01-07,Lenço Umedecido,34,5.03,Nordeste,Não
2024-01-07,Fralda XG,101,33.08,Sudeste,Não
2024-01-07,Papel Toalha FD,9,6.59,Nordeste,Sim
2024-01-07,Fralda G,118,28.96,Nordeste,Sim
2024-01-07,Fralda P,11,27.97,Sul,Não
2024-01-07,Papel Higiênico 30m,11,5.62,Sudeste,Não
2024-01-07,Papel Higiênico 30m,138,5.63,Centro-Oeste,Não
